[34m[1mwandb[0m: wandb.init() called while a run is active and reinit is set to 'default', so returning the previous run.
/Users/eating/Library/Python/3.9/lib/python/site-packages/gymnasium/envs/registration.py:519: DeprecationWarning: [33mWARN: The environment HalfCheetah-v4 is out of date. You should consider upgrading to version `v5`.[0m
  logger.deprecation(
Episode 1370, Average Reward: 2889.62, Entropy: -0.7565
Episode 1380, Average Reward: 2711.83, Entropy: -0.7587
Episode 1390, Average Reward: 2826.13, Entropy: -0.7618
Episode 1400, Average Reward: 2866.66, Entropy: -0.7648
Episode 1410, Average Reward: 3078.17, Entropy: -0.7685
Episode 1420, Average Reward: 3153.48, Entropy: -0.7746
Episode 1430, Average Reward: 3229.03, Entropy: -0.7815
Episode 1440, Average Reward: 3215.04, Entropy: -0.7895
Episode 1450, Average Reward: 3235.96, Entropy: -0.7959
Episode 1460, Average Reward: 3328.79, Entropy: -0.8050
Episode 1470, Average Reward: 3347.60, Entropy: -0.8146
Episode 1480, Average Reward: 3308.63, Entropy: -0.8231
Episode 1490, Average Reward: 3383.43, Entropy: -0.8344
Episode 1500, Average Reward: 3339.13, Entropy: -0.8474
Models saved at episode 1500
Episode 1510, Average Reward: 3443.72, Entropy: -0.8615
Episode 1520, Average Reward: 3511.07, Entropy: -0.8663
Episode 1530, Average Reward: 3454.35, Entropy: -0.8685
Episode 1540, Average Reward: 3398.21, Entropy: -0.8758
Episode 1550, Average Reward: 3459.36, Entropy: -0.8864
Episode 1560, Average Reward: 3441.88, Entropy: -0.8947
Episode 1570, Average Reward: 3385.09, Entropy: -0.9044
Episode 1580, Average Reward: 3476.39, Entropy: -0.9101
Episode 1590, Average Reward: 3454.34, Entropy: -0.9189
Episode 1600, Average Reward: 3518.26, Entropy: -0.9282
Episode 1610, Average Reward: 3470.40, Entropy: -0.9342
Episode 1620, Average Reward: 3494.71, Entropy: -0.9437
Episode 1630, Average Reward: 3540.61, Entropy: -0.9508
Episode 1640, Average Reward: 3538.10, Entropy: -0.9612
Episode 1650, Average Reward: 3488.63, Entropy: -0.9666
Episode 1660, Average Reward: 3379.37, Entropy: -0.9699
Episode 1670, Average Reward: 3393.25, Entropy: -0.9719
Episode 1680, Average Reward: 3423.70, Entropy: -0.9741
Episode 1690, Average Reward: 3465.21, Entropy: -0.9782
Episode 1700, Average Reward: 3452.20, Entropy: -0.9808
Episode 1710, Average Reward: 3469.62, Entropy: -0.9807
Episode 1720, Average Reward: 3395.75, Entropy: -0.9816
Episode 1730, Average Reward: 3547.38, Entropy: -0.9839
Episode 1740, Average Reward: 3545.77, Entropy: -0.9899
Episode 1750, Average Reward: 3472.75, Entropy: -0.9980
Episode 1760, Average Reward: 3542.07, Entropy: -1.0010
Episode 1770, Average Reward: 3547.71, Entropy: -1.0066
Episode 1780, Average Reward: 3463.12, Entropy: -1.0108
Episode 1790, Average Reward: 3486.65, Entropy: -1.0216
Episode 1800, Average Reward: 3487.76, Entropy: -1.0300
Episode 1810, Average Reward: 3561.94, Entropy: -1.0371
Episode 1820, Average Reward: 3456.73, Entropy: -1.0407
Episode 1830, Average Reward: 3349.87, Entropy: -1.0469
Episode 1840, Average Reward: 3192.90, Entropy: -1.0495
Episode 1850, Average Reward: 3245.23, Entropy: -1.0515
Episode 1860, Average Reward: 3302.33, Entropy: -1.0552
Episode 1870, Average Reward: 3380.48, Entropy: -1.0611
Episode 1880, Average Reward: 3436.25, Entropy: -1.0667
Episode 1890, Average Reward: 3305.08, Entropy: -1.0682
Episode 1900, Average Reward: 3389.81, Entropy: -1.0736
Episode 1910, Average Reward: 3279.65, Entropy: -1.0777
Episode 1920, Average Reward: 3269.90, Entropy: -1.0795
Episode 1930, Average Reward: 3459.33, Entropy: -1.0830
Episode 1940, Average Reward: 3384.46, Entropy: -1.0897
Episode 1950, Average Reward: 3359.29, Entropy: -1.0932
Episode 1960, Average Reward: 3411.06, Entropy: -1.0955
Episode 1970, Average Reward: 3206.37, Entropy: -1.0965
Episode 1980, Average Reward: 3539.28, Entropy: -1.0974
Episode 1990, Average Reward: 3546.33, Entropy: -1.0980
Episode 2000, Average Reward: 3566.97, Entropy: -1.1008
Models saved at episode 2000
Episode 2010, Average Reward: 3601.60, Entropy: -1.1049
Episode 2020, Average Reward: 3554.40, Entropy: -1.1074
